"순위","영화명","개봉일","매출액","매출액점유율","매출액증감(전일대비)","매출액증감율(전일대비)","누적매출액","관객수","관객수증감(전일대비)","관객수증감율(전일대비)","누적관객수","스크린수","상영횟수","대표국적","국적","제작사","배급사","등급","장르","감독","배우"
"88","콘에어","1997-06-28",69000,0,-12000,-0.148,150000,23,-4,-0.148,50,1,1,"미국","미국","제리부룩하이머필름","","고등학생이상관람가","액션,스릴러","사이먼 웨스트","니콜라스 케이지,존 말코비치"
"89","그럼에도 불구하고","2017-08-24",144000,0,-119500,-0.454,2008000,19,-12,-0.387,354,3,3,"한국","한국","월요일 아침","영화배급협동조합 씨네소파","12세이상관람가","다큐멘터리","김영조","배남식,김순덕,임간난,권민기,강해춘"
"89","매치 포인트","2006-04-13",107000,0,-3000,-0.027,879675048,19,-3,-0.136,132553,1,1,"영국","영국,미국","비비씨필름즈","(주)퍼스트런,글뫼 주식회사,씨제이엔터테인먼트","18세관람가,청소년관람불가","멜로/로맨스,드라마","우디 알렌","조나단 리스 마이어스,스칼렛 요한슨"
"91","감사한 삶","",84000,0,84000,1,202000,17,17,1,40,1,1,"프랑스","프랑스","","","","드라마","베르트랑 블리에","샤를로뜨 갱스부르,아누크 그린버그"
"91","장고","",51000,0,-75000,-0.595,541000,17,-25,-0.595,175,1,1,"","","","","","","",""
"91","꿈, 떠나다","",85000,0,70000,4.667,1e+05,17,14,4.667,20,1,1,"한국","한국","","","","다큐멘터리","섹알마문",""
"91","제16회 미쟝센 단편영화제 수상작 특별전 단편섹션 2","",85000,0,0,0,170000,17,0,0,34,1,1,"한국","한국","","","","기타","",""
"95","죽은 당나귀는 하이에나를 두려워하지 않는다","",65000,0,55000,5.5,80000,13,11,5.5,16,1,1,"스웨덴","스웨덴,핀란드,독일","","","","다큐멘터리","",""
"95","사샤의 북극 대모험","",78000,0,78000,1,990000,13,13,1,165,1,1,"프랑스","프랑스,덴마크","","찬란","전체관람가","애니메이션","레미 샤에",""
"95","제16회 미쟝센 단편영화제 수상작 특별전 단편섹션 3","",65000,0,65000,1,65000,13,13,1,13,1,1,"한국","한국","","","","기타","",""
"98","내가 죽기 전에 가장 듣고 싶은 말","2017-07-19",66000,0,-308000,-0.824,330728600,11,-54,-0.831,45006,1,1,"미국","미국","","(주)메인타이틀픽쳐스,주식회사 키위컴퍼니","12세이상관람가","코미디","마크 펠링톤","셜리 맥클레인,아만다 사이프리드,앤 헤이시"
"98","나의 시, 나의 도시","",49000,0,-116000,-0.703,214000,11,-22,-0.667,44,1,1,"캐나다","캐나다","","","","다큐멘터리","",""
"100","자크 페팽: 요리의 기술","",48000,0,48000,1,48000,10,10,1,10,1,1,"미국","미국","","","","다큐멘터리","",""
"101","모자란 기억","",45000,0,32000,2.462,58000,9,6,2,12,1,1,"한국","한국","","","","다큐멘터리","박군제",""
"102","우리들","2016-06-16",26000,0,8000,0.444,365060460,8,2,0.333,49300,1,1,"한국","한국","(주)아토","(주)엣나인필름","전체관람가","드라마","윤가은","최수인,설혜인,이서연,박혜진,안정우,전석민,주재윤,최승혁"
"103","꿈의 제인","2017-05-31",28500,0,14500,1.036,202625700,7,4,1.333,24735,2,2,"한국","한국","영화사 서울집","(주)엣나인필름,CGV아트하우스","청소년관람불가","드라마","조현훈","이민지,구교환,이주영"
"103","어둠이 오기 전에","",35000,0,6000,0.207,69000,7,0,0,15,1,1,"아일랜드","아일랜드","","","","다큐멘터리","",""
"105","벨과 세바스찬 계속되는 모험","2017-08-10",32000,0,12000,0.6,28319700,6,2,0.5,3696,2,2,"프랑스","프랑스","","C 무비","전체관람가","드라마","크리스찬 두가이","펠릭스 보쉬"
"106","꼬마참새 리차드: 아프리카 원정대","2017-06-15",22000,0,13000,1.444,597784100,5,3,1.5,80919,1,1,"독일","독일,벨기에,룩셈부르크,노르웨이","","씨네그루(주)키다리이엔티","전체관람가","애니메이션","토비 젠켈,레자 메마리","김서영,구민선,변영희,사문영,임채헌,황창영,이현"
"106","잇 로컬","2017-08-17",16000,0,0,0,172000,5,0,0,49,5,5,"영국","영국","","(주)영화사 그램","15세이상관람가","액션,코미디","제이슨 플레밍","찰리 콕스,토니 큐란,맥켄지 크룩,덱스터 플레처,빈센트 레건,니콜라스 로우,닉 모란,아네트 크로스비"
"106","47 미터","2017-07-19",14000,0,0,0,4685958657,5,0,0,590017,5,5,"영국","영국","","씨네그루(주)키다리이엔티","15세이상관람가","스릴러,공포(호러)","조하네스 로버츠","맨디 무어,클레어 홀트,매튜 모딘"
"106","디나","",23000,0,-2000,-0.08,48000,5,0,0,10,1,1,"미국","미국","","","","다큐멘터리","",""
"110","호랑이 키트 선생님","",18000,0,8000,0.8,93000,4,2,1,19,1,1,"네덜란드","네덜란드","","","","다큐멘터리","",""
"110","여자들","2017-08-03",32000,0,-30000,-0.484,21661100,4,-5,-0.556,3024,1,1,"한국","한국","콧수염필름즈","㈜인디스토리","15세이상관람가","드라마","이상덕","최시형,전여빈,채서진,요조,유이든,전소니"
"112","직지코드","2017-06-28",10000,0,-7500,-0.429,66381700,3,-2,-0.4,9940,1,1,"한국","한국","(주)아우라픽처스","(주)엣나인필름","전체관람가","다큐멘터리","우광훈,데이빗 레드먼","데이빗 레드먼,명사랑 아네스,김민웅"
"112","무림9대문파-항하살수","2017-08-17",7000,0,0,0,92000,3,0,0,37,3,3,"중국","중국","","(주)케이알씨지","15세이상관람가","액션","귀아광",""
"112","우리가 잃어버릴 청춘","",21000,0,-37000,-0.638,831000,3,-6,-0.667,154,1,1,"중국","중국","","(유)영화사 화수분","12세이상관람가","드라마,멜로/로맨스","조미","조우정,한경,양자산,강소영"
"112","바바둑","2015-08-28",15000,0,15000,1,313000,3,3,1,54,1,1,"호주","호주","","(주)나이너스엔터테인먼트","15세이상관람가","공포(호러),스릴러","제니퍼 켄트","에시 데이비스,노아 와이즈먼"
