POI ID,대명칭,중명칭,소명칭,중앙좌표X1,중앙좌표Y1,WSG84X좌표,WSG84Y좌표,등록일자,수정일자
POI_ID,FNAME,ANAME,CNAME,CENTER_X1,CENTER_Y1,X_WGS84,Y_WGS84,INSERTDATE,UPDATEDATE
A00495,성수1가제2동주민센터,공공청사,유,203922.2322,449645.6399,127.0443838,37.54631685,20101111,20101111
A00328,휘경1동주민센터,공공청사,,205263.0937,454500.0214,127.0595918,37.59004792,20101111,20101111
A00467,이수지구대/방배본동주민센터,공공청사,유,199012.5804,443850.158,126.9888342,37.4941072,20101111,20101111
A00342,성삼공원공중화장실,공중,무,205320.6739,449174.4507,127.0602051,37.54206444,20100712,20100712
A00343,회기동주민센터,공공청사,무,204893.3593,454587.1281,127.055406,37.59083478,20101111,20101111
A00404,합정동주민센터,공공청사,유,191668.7291,450004.4637,126.9057197,37.54952055,20101111,20101111
A00405,언덕배기공원화장실,공중,무,207767.9454,448061.6578,127.0878849,37.53202081,20100712,20100712
A00406,마포구청,공공청사,유,191919.4124,451558.7758,126.9085394,37.56352708,20101111,20101111
A00468,북악숲속공중화장실,공중,유,199429.6017,456786.0928,126.9935398,37.61066008,20100712,20100712
A00469,서초2동주민센터,공공청사,유,202216.8456,443631.1206,127.0250676,37.49213153,20101111,20101111
A00528,효자공원화장실,공중,유,204503.8244,461160.5257,127.0510359,37.65006225,20100712,20100712
A00529,월곡2동주민센터,공공청사,유,204228.1969,456246.2308,127.0478842,37.60578644,20101111,20101111
A00530,모랫공원화장실,공중,유,204571.6236,460802.8986,127.0518019,37.64683976,20100712,20100712
A00555,송파2동주민센터,공공청사,유,210322.8821,444768.3723,127.1167447,37.50232321,20101111,20101111
A00443,방배4동주민센터,공공청사,유,199237.0473,443351.4515,126.991373,37.48961403,20101111,20101111
A00444,오거리공중화장실,공중,유,207451.7429,453040.4588,127.084358,37.57688226,20100712,20100712
A00445,반포1동주민센터,공공청사,유,201170.2406,445071.5103,127.0132351,37.50511145,20101111,20101111
A00455,서초4동주민센터,공공청사,유,201952.2386,444812.2274,127.0220786,37.50277397,20101111,20101111
A00426,광장동청년회화장실,공중,무,209716.9705,449907.9875,127.1099602,37.54863775,20100712,20100712
A00427,홍제제3동주민센터,공공청사,유,195557.6452,454913.8117,126.9496986,37.59378046,20101111,20101111
A00507,미루나무어린이공원화장실,공중,무,202157.2707,460104.6067,127.0244424,37.6405571,20100712,20100712
A00508,길음1동주민센터,공공청사,유,201718.5573,456768.6428,127.0194638,37.61050143,20101111,20101111
A00509,오동근린공원화장실,공중,무,203098.353,457839.0708,127.0350955,37.62014225,20100712,20100712
A00398,망원1동주민센터,공공청사,유,191665.8231,450643.4483,126.9056795,37.55527776,20101111,20101111
A00399,무궁화공원화장실,공중,무,208343.6795,449088.9357,127.0944103,37.54127155,20100712,20100712
A00400,연남동 주민센터,공공청사,유,193110.8161,451669.4251,126.9220233,37.5645337,20101111,20101111
A00412,천연동주민센터,공공청사,유,196389.3033,452396.8543,126.959128,37.57110648,20101111,20101111
A00413,가중나무공원화장실,공중,무,206001.8987,449654.9188,127.0679173,37.54638927,20100712,20100712
A00414,충현동주민센터,공공청사,유,196000.7597,451700.389,126.9547336,37.56482976,20101111,20101111
A00415,햇님공원화장실,공중,무,205912.3483,449247.6789,127.0669007,37.54272062,20100712,20100712
A00448,양재2동주민센터,공공청사,유,203646.1152,441241.7078,127.0412176,37.47059817,20101111,20101111
A00449,사가정공중화장실,공중,유,208525.9868,453484.2107,127.0965242,37.58087112,20100712,20100712
A00339,제기동주민센터,공공청사,,203711.1889,454005.9428,127.0420177,37.58560387,20101111,20101111
