"전철역코드","전철역명","호선","외부코드","전철역_ko","lon","lat","address"
1211,"운길산","K","K129","운길산역&language=ko",127.310089,37.554659,"남양주시 조안면 운길산역"
1213,"신원","K","K131","신원역&language=ko",127.372745,37.52592,"양평군 양서면 신원역"
1215,"아신","K","K133","아신역&language=ko",127.443238,37.513954,"양평군 옥천면 아신역"
1216,"오빈","K","K134","오빈역&language=ko",127.474053,37.50606,"양평군 양평읍 오빈역"
1219,"용문","K","K137","용문역&language=ko",127.594251,37.482085,"양평군 용문면 용문역"
1249,"대곡","K","K322","대곡역&language=ko",126.809568,37.632285,"고양시 능곡동 대곡역"
1252,"신촌(경의중앙선)","K","P312","신촌(경의중앙선)역&language=ko",144.7280867,-37.5791603,"오스트레일리아 3429 victoria, sunbury, 선버리"
1262,"공덕","K","K312","공덕역&language=ko",126.951957,37.543502,"서울특별시 아현동 공덕역"
1263,"서강대","K","K313","서강대역&language=ko",126.935389,37.552132,"서울특별시 신수동 서강대역"
1265,"가좌","K","K315","가좌역&language=ko",126.914841,37.56861,"서울특별시 성산동 가좌역"
1266,"디지털미디어시티","K","K316","디지털미디어시티역&language=ko",126.900473,37.577506,"서울특별시 증산동 디지털미디어시티역"
1268,"화전","K","K318","화전역&language=ko",126.832645,37.63459,"고양시 화정동 화정역"
1270,"행신","K","K320","행신역&language=ko",126.834059,37.611846,"고양시 강매동 행신역"
1272,"곡산","K","K323","곡산역&language=ko",126.8017,37.645892,"고양시 풍산동 곡산역"
1273,"백마","K","K324","백마역&language=ko",126.7944,37.658346,"고양시 마두동 백마역"
4601,"발곡","U","U110","발곡역&language=ko",127.052889,37.726984,"의정부시 신곡동 발곡역"
4602,"회룡","U","U111","회룡역&language=ko",127.047319,37.724037,"의정부시 호원2동 회룡역"
4603,"범골","U","U112","범골역&language=ko",127.043643,37.728788,"의정부시 호원2동 범골역"
4604,"경전철의정부","U","U113","경전철의정부역&language=ko",127.043293,37.737378,"의정부시 의정부동 경전철의정부역"
4605,"의정부시청","U","U114","의정부시청역&language=ko",127.034846,37.739233,"의정부시 의정부동 의정부시청역"
4606,"흥선","U","U115","흥선역&language=ko",127.0371,37.743276,"의정부시 가능동 흥선역"
4607,"의정부중앙","U","U117","의정부중앙역&language=ko",127.049643,37.743676,"의정부시 의정부동 의정부중앙역"
4608,"동오","U","U118","동오역&language=ko",127.056958,37.74526,"의정부시 신곡동 동오역"
4609,"새말","U","U119","새말역&language=ko",127.063764,37.748861,"의정부시 신곡동 새말역"
4611,"효자","U","U121","효자역&language=ko",129.332512,36.007702,"포항시 효자동 효자역"
4612,"곤제","U","U122","곤제역&language=ko",127.083825,37.750526,"의정부시 금오동 곤제역"
4613,"어룡","U","U123","어룡역&language=ko",127.085206,37.742688,"의정부시 용현동 어룡역"
4615,"탑석","U","U125","탑석역&language=ko",127.088908,37.733459,"의정부시 용현동 탑석역"
1217,"양평(경의중앙선)","K","K135","양평(경의중앙선)역&language=ko",127.4875607,37.4912195,"대한민국 경기도 양평군"
1877,"오이도","SU","K250","오이도역&language=ko",126.738437,37.361773,"시흥시 정왕동 오이도역"
1948,"원흥","3","309","원흥역&language=ko",NA,NA,NA
158,"청량리","1","124","청량리역&language=ko",127.048958,37.581381,"서울특별시 전농동 청량리역"
206,"신당","2","206","신당역&language=ko",127.019468,37.565671,"서울특별시 황학동 신당역"
211,"성수","2","211","성수역&language=ko",127.055974,37.544569,"서울특별시 성수동2가 성수역"
216,"잠실","2","216","잠실역&language=ko",127.1011099,37.5132357,"서울특별시 신천동 잠실역"
221,"역삼","2","221","역삼역&language=ko",127.0373932,37.4999072,"대한민국 서울특별시 강남구 역삼동"
227,"낙성대","2","227","낙성대역&language=ko",126.963418,37.477117,"서울특별시 봉천동 낙성대역"
233,"대림","2","233","대림역&language=ko",126.894906,37.493366,"서울특별시 구로동 대림역"
238,"합정","2","238","합정역&language=ko",126.91354,37.54895,"서울특별시 합정동 합정역"
317,"경복궁","3","327","경복궁역&language=ko",126.97358,37.575838,"서울특별시 사직동 경복궁역"
323,"약수","3","333","약수역&language=ko",127.010636,37.55476,"서울특별시 신당동 약수역"
328,"잠원","3","338","잠원역&language=ko",127.011611,37.51296,"서울특별시 잠원동 잠원역"
4210,"청라국제도시","A","A071","청라국제도시역&language=ko",NA,NA,NA
4126,"언주","9","926","언주역&language=ko",75.7873827,21.0457227,"인도 425201 maharashtra, bhusawal, gadkari nagar, gandhi nagar, bus stand rd, 버스 역"
4127,"선정릉","9","927","선정릉역&language=ko",127.0443439,37.5105544,"서울특별시 삼성동 선정릉역"
4128,"삼성중앙","9","928","삼성중앙역&language=ko",126.838532,37.316055,"안산시 고잔동 중앙역"
4129,"봉은사","9","929","봉은사역&language=ko",127.073774,37.511051,"서울특별시 잠실동 종합운동장역"
4130,"종합운동장","9","930","종합운동장역&language=ko",127.073774,37.511051,"서울특별시 잠실동 종합운동장역"
2812,"천호","8","811","천호역&language=ko",127.123184,37.538001,"서울특별시 성내동 천호역"
1005,"대방","1","137","대방역&language=ko",126.926407,37.513392,"서울특별시 신길동 대방역"
